code;name;country_id;icao
DIK;Dickinson Regional Airport;US;KDIK
DIL;Comoro Airport;TL;WPDL
DIM;Dimbokro;CI;DIDK
DIN;Dien Bien Airport;VN;VVDB
DIQ;Divinopolis;BR;SNDV
DIS;Loubomo;CG;FCPD
DIU;Diu Airport;IN;VA1P
DIV;Divo;CI;
DIY;Diyarbakir Airport;TR;LTCC
DJB;Sultan Thaha Airport;ID;WIJJ
DKK;Dunkirk;US;KDKK
DKS;Dikson;RU;UODD
DMB;Jambyl Airport;KZ;UADD
DME;Moscow Domodedovo Airport;RU;UUDD
DMK;Don Mueang International Airport;TH;VTBD
ZFD;Fond-du-Lac Airport;CA;CZFD
ZEL;Bella Bella Airport;CA;CBBC
BMK;Borkum;DE;EDWR
SDR;Santander Airport;ES;LEXJ
BMM;Bitam;GA;FOOB
ZGS;Gethsemani;CA;CTT5
SDU;Santos Dumont Airport;BR;SBRJ
BOZ;Bozoum;CF;FEGZ
SEA;Seattle-Tacoma International Airport;US;KSEA
YZX;Greenwood;CA;CYZX
SEK;Srednekolymsk Airport;RU;UESK
SEN;London Southend Airport;GB;EGMC
SEV;Severodoneck;UA;UKCS
SIU;Siuna;NI;MNSI
SJY;Ilmajoki;FI;EFSI
PUO;Prudhoe Bay;US;
SKB;Robert L. Bradshaw International Airport;KN;TKPK
SKD;Samarkand Airport;UZ;UTSS
SKE;Skien;NO;ENSN
RED;Mifflin County;US;KRVL
JQA;Qaarsut Airport;GL;BGUQ
DJJ;Sentani Airport;ID;WAJJ
DJO;Daloa;CI;DIDL
ZAC;York Landing;CA;CZAC
DKR;Leopold Sedar Senghor International Airport;SN;GOOY
SON;Santo Pekoa International Airport;VU;NVSS
DLB;Dalbertis;PG;
RMI;Miramare Airport;IT;LIPR
RMQ;Taichung International Airport;TW;RCMQ
RNE;Renaison;FR;LFLO
DLE;Dole-Jura Airport;FR;LFGJ
DLF;Laughlin AFB;US;KDLF
DLH;Duluth International Airport;US;KDLH
RNG;Rangely;US;
RNN;Bornholm Airport;DK;EKRN
RNO;Reno/Tahoe International Airport;US;KRNO
DLI;Lien Khuong Airport;VN;VVDL
SCE;University Park Airport;US;KUNV
DLL;Dillon;US;KDLC
DLM;Dalaman Airport;TR;LTBS
DLN;Dillon;US;KDLN
DLR;Dalnerechensk Airport;RU;
DLS;Columbia Gorge Regional/The Dalles Municipal Airport;US;KDLS
DLU;Dali Airport;CN;ZPDL
DLV;Delissaville;AU;YDLV
DLZ;Dalanzadgad;MN;ZMDZ
DMA;Davis Monthan AFB;US;KDMA
MPF;Mapoda;PG;AYPO
MMP;Mompos;CO;
RFN;Raufarhofn;IS;BIRG
RIR;Riverside Fla-Bob;US;
SEZ;Seychelles International Airport;SC;FSIA
PTV;Porterville;US;KPTV
PTW;Pottstown/Limerick;US;KPTW
PUN;Punia;CD;FZOP
PUF;The Pau-Pyrenees International Airport;FR;LFBP
PUG;Port Augusta;AU;YPAG
PUH;Pochutla;MX;
PTP;Pointe-a-Pitre International Airport;GP;TFFR
PTQ;Porto de Moz;BR;SNMZ
PTS;Atkinson Municipal Airport;US;
PTY;Tocumen International Airport;PA;MPTO
PUB;Pueblo Memorial Airport;US;KPUB
PUT;Puttaprathe;IN;VOPN
PUC;Carbon County;US;KPUC
PUE;Puerto Obaldia;PA;MPOA
ADI;Arandis;NA;FYAR
ADY;Alldays;ZA;FAAL
AGW;Agnew;AU;
PUJ;Punta Cana International Airport;DO;MDPC
PUL;Poulsbo;US;83Q
PUM;Pomala;ID;WAWP
PUS;Gimhae International Airport;KR;RKPK
ZSJ;Sandy Lake;CA;CZSJ
DMN;Deming;US;KDMN
DMU;Dimapur Airport;IN;VEMR
DNA;Kadena AB;JP;RODN
DNE;Dallas North Airport;US;
DNF;Martuba;LY;
DNK;Dnepropetrovsk International Airport;UA;UKDD
DNL;Daniel Field;US;KDNL
PXA;Atung Bungsu Airport;ID;WIPY
ALK;Asela;ET;
BCO;Jinka;ET;HABC
BEI;Beica;ET;HABE
BJR;Bahar Dar Airport;ET;HABD
BOK;Brookings State;US;KBOK
DNO;Dianopolis;BR;SWDN
DNQ;Deniliquin;AU;YDLQ
DNR;Pleurtuit Airport;FR;LFRD
MRH;May River;PG;AYRV
DNS;Municipal;US;KDNS
DNT;Downtown Heliport;US;
YRR;Stuart Island;CA;
RRI;Barora;SB;
SMI;Samos Airport;GR;LGSM
PXL;Polacca;US;P10
PXM;Puerto Escondido Airport;MX;MMPS
PXS;Puerto De Santa Maria;ES;
PYA;Puerto Boyaca;CO;SKVL
PYB;Jeypore;IN;VEJP
DEM;Dembidollo;ET;HADD
PYC;Playon Chico;PA;
DGC;Degahbur;ET;HADB
DGM;Dongguan;LK;
ABK;Kabri Dar;ET;HAKD
PYG;Gangtok-Pakyong Airport;IN;VEPY
AWA;Awassa;ET;HALA
DIR;Aba Tenna D Yilma Airport;ET;HADR
PYR;Andravida;GR;LGAD
PYS;Skypark;US;
BQO;Bouna;CI;DIBN
CAX;Carlisle;GB;EGNC
CRF;Carnot;CF;FEFC
DBT;Debra Tabor;ET;HADT
PYV;Yaviza;PA;
PZH;Zhob;PK;OPZB
PZL;Zulu Inyala;ZA;FADQ
PZE;Penzance;GB;
QGV;Neu Isenburg;DE;
PZK;Puka Puka Island;CK;NCPK
DJA;Djougou;BJ;DBBD
DJE;Melita Airport;TN;DTTJ
DNV;Vermilion County;US;KDNV
DNZ;Cardak Airport;TR;LTAY
DOC;Dornoch;GB;EGZJ
DOH;Hamad International Airport;QA;OTHH
DOL;Saint Gatien Airport;FR;LFRG
PZU;Port Sudan Airport;SD;HSPN
QAQ;L'Aquila–Preturo Airport;IT;LIAP
DOR;Dori;BF;DFEE
DOS;Dios;PG;
DOU;Dourados Airport;BR;SBDO
DOV;Dover AFB;US;KDOV
DOY;Dongying Airport;CN;ZSDY
DPA;DuPage Airport;US;KDPA
DPE;Dieppe;FR;LFAB
DPG;Michael AAF;US;KDPG
DPK;Deer Park;US;
DRY;Drysdale River;AU;YDRD
MSG;Matsaile;LS;
MTF;Mizan Teferi;ET;HAMT
NEK;Nekemt;ET;HANK
YGT;Igloolik Airport;CA;CYGT
ASO;Asosa Airport;ET;HASO
QCY;Coningsby RAF Station;GB;EGXC
BRP;Biaru;PG;AYBR
QFK;Harbour;NO;
QFQ;Harbour;NO;
QGQ;Heliport;GL;
WMK;SPB;US;84K
DND;Dundee Airport;GB;EGPN
DNU;Dinangat;PG;AYDN
DON;Dos Lagunas;GT;MGDL
DPL;Dipolog Airport;PH;RPMG
DPS;Ngurah Rai International Airport;ID;WADD
DPT;Deputatsky;RU;UEBD
DPU;Dumpu;PG;
DQA;Daqing Shi Airport;CN;ZYDQ
DRI;Beauregard Parish;US;KDRI
DRO;Durango-La Plata County Airport;US;KDRO
DRT;Del Rio International Airport;US;KDRT
DRU;Drummond;US;KDRU
DRV;Dharavandhoo AIrport;MV;VRMD
DRW;Darwin International Airport;AU;YPDN
DSA;Doncaster Sheffield Airport;GB;EGCN
